teamid,uploads_last_7_days,uploads_last_14_days,uploads_last_30_days,uploads_last_60_days,uploads_last_90_days,uploads_last_365_days,users_watching_video_last_7_days,users_watching_video_last_14_days,users_watching_video_last_30_days,users_watching_video_last_60_days,users_watching_video_last_90_days,users_watching_video_last_365_days
02d3da8fbcddd08b35d3a740f584d899,3,6,12,27,32,37,3,7,8,12,13,17
02dbde2a01d55a62edb77b9d0904bfb4,0,1,3,7,7,7,0,0,0,1,1,1
02f15308d45425e2f9f9d021935158d3,1,2,5,6,6,11,1,1,1,5,10,16
02fc089a4954a4f3eb3bdcfec00a6451,1,2,4,7,8,8,0,0,0,9,9,9
030f54ee681e5d8c2bc64cc384eea019,1,1,2,2,2,4,4,4,4,4,5,14
0311df524c7463cd07c6c1dfd9fab31a,3,7,15,23,31,61,1,1,1,1,1,1
03135acfcacf20846c4fc152d0b7b8ca,1,3,9,17,18,77,6,7,8,9,13,21
03200a9875afd70344754311d7c7806f,0,1,1,1,5,13,0,2,2,3,7,13
03212b3430c05cad3be030c21d74e752,1,5,7,11,14,16,4,5,5,16,21,31
03319666a4dfb1ca98ba5a66ae368c65,0,0,0,0,0,0,0,0,2,3,4,5
0332c980ac48ed9246c950336f90b47e,4,6,16,28,30,56,6,10,11,13,13,14
0334c007172459d4cf88cd6eeb8f985b,9,23,40,48,50,52,0,0,0,1,1,1
033b3eea8663c344aa0e901404e3eea8,2,4,13,28,41,67,8,10,11,15,19,29
034bd9be0f69e9bc21f088438c1717d1,4,8,11,21,21,21,3,9,13,14,14,14
034d3b03b58454569e0c15bdbb829a2b,6,12,21,31,31,51,6,10,12,14,15,23
034ef0a4c5f3babc453a41152a85bd2f,0,2,4,9,9,11,1,1,1,5,5,8
035f0aedbb1e751735358fe9f0cc60a6,2,7,18,40,62,107,6,9,14,17,18,22
036184e0608560efbdc9cc5672f4e2c7,0,0,0,0,0,0,0,0,0,0,0,1
037ed075ce73a9b353a51eaa4e57b356,1,3,6,10,10,10,1,2,4,7,7,7
038a62892190dc4c4fcc5779a442424e,3,7,15,22,22,77,6,14,15,18,19,27
038ff08a50c24c3c100105cc9f187f4c,4,12,17,40,48,57,6,7,7,15,19,28
03934d845075fb92a3a221dbe9b197a1,6,16,27,41,41,57,8,9,11,18,18,22
0399334aa654231ea848a3e4d755f5d8,5,14,16,34,40,40,10,10,10,20,21,28
03a369797769e4db51c75d500133029b,1,2,2,6,6,9,2,2,3,7,7,10
03aa15df757001ac02846e8638ddaa5f,3,6,13,27,35,52,4,6,7,10,13,16
03b1c38921ba86c39d3d33264e1b9e37,1,3,5,6,6,6,3,4,4,12,13,13
03c026c555d3610f706c1a1985541556,1,2,3,3,3,3,0,0,0,1,1,1
03c20a504b131870a8100160e5e3c496,3,12,24,53,57,70,6,7,10,18,20,29
03c8ed03c6482ffe25e301aa00d3bd31,1,9,35,70,74,94,3,8,17,21,26,27
03ccaa53f7d5ce3c4ebecb7c18d017e6,5,7,20,35,37,51,6,6,11,19,19,24
03ccb56048b3274ec62ded370c14ca7e,4,5,7,12,18,18,2,4,7,9,12,12
03d1b3bde212b9a0b6fe1341c16d15d5,9,18,38,66,82,97,2,3,4,4,6,10
03dbe0d4967e6c43aec34a6c27a0f30e,5,7,11,15,17,26,1,2,2,14,14,21
03e6590e4c076c4f58de4bf85811d640,5,9,15,30,38,73,4,6,9,13,15,18
03eea32c532eb22b0cb44cd0967bc8bd,6,12,17,33,34,44,5,6,6,9,10,18
03f04983b7f6949030ede59e585e6de8,7,14,41,57,58,71,9,9,10,15,15,21
03f9d81b498caa15a2f7c63e5d8f2a19,1,3,5,8,8,8,5,8,8,12,12,12
03fbe8b5782f9e669f6aa2a93025827b,0,0,0,0,0,4,0,0,0,1,1,9
040fe775591bc0141dfe7f5fa676be8d,5,8,13,25,53,78,3,3,3,4,5,7
041cf03a3992e41f14eb1058098e1642,2,7,15,31,32,55,6,7,7,7,7,10
041e7626e228c0c19a8b38bff1a822a5,1,3,9,17,17,17,1,4,8,9,9,9
0424c39c4b5f416f1ad20dd54adbd44d,1,8,34,61,65,87,1,1,3,5,5,5
042b00869738c550b1cd4ac7755486d7,2,3,10,22,27,39,5,5,8,10,12,20
042f58f53149e490e922d2ecf3ac2b96,1,1,3,6,11,12,1,1,1,16,21,24
0437a071782da8be03440ded88cdd244,3,6,14,25,26,50,0,0,0,3,4,8
044089da66d6f7b56f421aa026715fad,10,26,57,85,96,106,10,14,18,33,33,44
0448a75f1a5de94432194e502882d9fd,0,0,0,0,0,11,0,0,0,2,2,14
044a04e690b09810287897d95548c889,17,23,23,23,23,31,1,2,2,2,2,5
